rollrate,pitchrate,yawrate,ax,ay,az,beta,yawrate_noise,ax_noise,ay_noise,vx,vy,vz,betarate,pitch,roll,yaw
0.060105,0.015019,0.28815,0.051169,5.7196,-0.038387,-0.018678,-0.77508,-1.0121,4.6564,32.627,-0.60336,-0.0051459,-0.11364,0.0057485,0.02652,-2.43
0.058713,0.015549,0.2915,0.050753,5.8339,-0.032165,-0.019814,0.16906,-0.071687,5.7114,32.626,-0.64028,-0.0054989,-0.11348,0.0058236,0.027131,-2.4271
0.057382,0.015965,0.29449,0.050569,5.944,-0.025472,-0.020947,0.15007,-0.093854,5.7995,32.624,-0.67711,-0.0057876,-0.11309,0.0059008,0.027728,-2.4242
0.056074,0.016284,0.29715,0.050766,6.0483,-0.018609,-0.022075,0.43935,0.19297,6.1905,32.623,-0.7138,-0.006008,-0.11253,0.0059792,0.028313,-2.4213
0.054748,0.016516,0.29947,0.0513,6.144,-0.012187,-0.023197,0.070866,-0.1773,5.9154,32.621,-0.75029,-0.0061619,-0.11192,0.0060579,0.028885,-2.4183
0.053356,0.016674,0.30151,0.051384,6.2354,-0.0052889,-0.024312,0.30059,0.050471,6.2345,32.619,-0.78655,-0.0062494,-0.11114,0.0061362,0.029444,-2.4153
0.051887,0.016774,0.30325,0.05164,6.3226,0.0015867,-0.025419,1.0217,0.77009,7.0411,32.618,-0.82254,-0.0062676,-0.11021,0.0062135,0.029989,-2.4122
0.050348,0.016824,0.30469,0.052311,6.4112,0.0084477,-0.026515,0.68377,0.43139,6.7902,32.615,-0.85818,-0.0062179,-0.10893,0.0062895,0.030519,-2.4092
0.048805,0.016834,0.30575,0.053557,6.4989,0.014072,-0.027596,0.42565,0.17346,6.6188,32.613,-0.89332,-0.0061037,-0.10727,0.0063638,0.031034,-2.4061
0.047236,0.0168,0.30648,0.054664,6.5784,0.018636,-0.028659,-0.10652,-0.35833,6.1654,32.611,-0.92792,-0.0059402,-0.10554,0.0064362,0.031534,-2.4031
0.0456,0.016732,0.30691,0.056217,6.6516,0.02284,-0.029705,0.27538,0.024689,6.6201,32.609,-0.96193,-0.0057323,-0.10372,0.0065063,0.032018,-2.4
0.04388,0.016634,0.30708,0.058021,6.7178,0.026099,-0.030733,0.37322,0.12416,6.7839,32.606,-0.99534,-0.005487,-0.10185,0.0065741,0.032486,-2.3969
0.042044,0.016503,0.30705,0.059983,6.7787,0.029111,-0.031741,0.057907,-0.18916,6.5295,32.604,-1.0281,-0.0052105,-0.099935,0.0066393,0.032936,-2.3938
0.040095,0.016343,0.3068,0.062118,6.8351,0.031272,-0.03273,0.15622,-0.088462,6.6846,32.601,-1.0603,-0.0049079,-0.097942,0.0067017,0.033367,-2.3908
0.038045,0.016155,0.30635,0.064397,6.8889,0.032308,-0.033698,0.49205,0.25009,7.0745,32.598,-1.0917,-0.0045891,-0.09583,0.0067612,0.033779,-2.3877
0.035929,0.01594,0.3057,0.066788,6.9403,0.032196,-0.034645,1.0024,0.76346,7.637,32.596,-1.1225,-0.0042657,-0.093581,0.0068176,0.034169,-2.3846
0.033777,0.015701,0.30486,0.069271,6.9895,0.031064,-0.035568,-0.78826,-1.0239,5.8964,32.593,-1.1525,-0.0039488,-0.091205,0.0068709,0.034539,-2.3816
0.031625,0.015441,0.30383,0.071818,7.0366,0.029098,-0.036468,-0.1873,-0.41931,6.5455,32.59,-1.1817,-0.0036474,-0.088705,0.0069209,0.034887,-2.3785
0.029501,0.015163,0.30263,0.074382,7.0816,0.026535,-0.037341,0.80469,0.57645,7.5836,32.587,-1.2101,-0.0033691,-0.08609,0.0069676,0.035213,-2.3755
0.02743,0.014873,0.30126,0.076907,7.1239,0.02365,-0.038188,0.56139,0.33704,7.3841,32.584,-1.2376,-0.0031181,-0.083392,0.0070109,0.035519,-2.3725
0.025435,0.014579,0.29974,0.079561,7.1651,0.021085,-0.039007,0.17838,-0.041793,7.0438,32.581,-1.2642,-0.0028947,-0.08057,0.0070509,0.035804,-2.3695
0.023517,0.014288,0.29808,0.082077,7.2006,0.018204,-0.039798,0.48331,0.26731,7.3858,32.578,-1.2899,-0.0026987,-0.077788,0.0070877,0.03607,-2.3665
0.021659,0.014007,0.29631,0.084592,7.2336,0.015394,-0.040561,-0.14098,-0.3527,6.7963,32.575,-1.3147,-0.0025306,-0.074979,0.0071215,0.036317,-2.3635
0.019869,0.013737,0.29444,0.087061,7.2646,0.012318,-0.041296,-0.16237,-0.36975,6.8078,32.572,-1.3385,-0.0023918,-0.072126,0.0071526,0.036546,-2.3605
0.018157,0.013478,0.29248,0.089417,7.2936,0.0089843,-0.042002,0.43455,0.23149,7.4357,32.569,-1.3614,-0.0022852,-0.069234,0.007181,0.036757,-2.3576
0.01653,0.013229,0.29042,0.091793,7.3209,0.0054969,-0.042679,0.96844,0.76982,7.9989,32.566,-1.3834,-0.0022127,-0.066304,0.007207,0.036951,-2.3547
0.014995,0.012989,0.28827,0.094167,7.3465,0.0019683,-0.043327,0.62342,0.42932,7.6817,32.563,-1.4044,-0.0021754,-0.063337,0.0072309,0.03713,-2.3518
0.013558,0.012757,0.28604,0.096506,7.3705,-0.001484,-0.043944,0.05899,-0.13054,7.1434,32.56,-1.4244,-0.0021731,-0.06034,0.0072527,0.037293,-2.3489
0.01222,0.012533,0.28374,0.098792,7.3926,-0.0047583,-0.044532,0.67965,0.49471,7.7885,32.557,-1.4435,-0.0022045,-0.057323,0.0072726,0.037443,-2.3461
0.01098,0.012317,0.28136,0.10101,7.4135,-0.0078141,-0.045089,0.17041,-0.0099385,7.3025,32.554,-1.4616,-0.0022675,-0.054272,0.0072908,0.037579,-2.3432
0.0098425,0.01211,0.27892,0.10315,7.4332,-0.010586,-0.045616,-0.04587,-0.22164,7.1084,32.55,-1.4786,-0.0023598,-0.051193,0.0073074,0.037704,-2.3404
0.0088069,0.011912,0.27642,0.10518,7.4519,-0.013035,-0.046111,0.077393,-0.093851,7.2528,32.547,-1.4947,-0.0024781,-0.048091,0.0073226,0.037817,-2.3377
0.0078725,0.011723,0.27387,0.10708,7.4696,-0.01514,-0.046576,-0.00022759,-0.16702,7.1955,32.544,-1.5098,-0.0026192,-0.044971,0.0073365,0.037921,-2.3349
0.0070372,0.011544,0.27129,0.10885,7.4863,-0.0169,-0.047009,0.17776,0.015319,7.3928,32.541,-1.5238,-0.0027796,-0.041839,0.0073492,0.038015,-2.3322
0.0062976,0.011376,0.26867,0.11047,7.5022,-0.018326,-0.047411,0.52007,0.36187,7.7536,32.538,-1.5368,-0.002956,-0.038703,0.007361,0.038102,-2.3295
0.0056495,0.011218,0.26603,0.11192,7.5172,-0.019422,-0.047782,-0.20977,-0.36388,7.0414,32.535,-1.5488,-0.003145,-0.035572,0.0073719,0.038181,-2.3268
0.0050859,0.011071,0.26337,0.11318,7.5313,-0.020204,-0.048121,0.42061,0.27042,7.6885,32.532,-1.5598,-0.0033432,-0.032458,0.0073821,0.038254,-2.3241
0.0045929,0.010935,0.26072,0.11433,7.5442,-0.020724,-0.048429,0.76741,0.62102,8.0508,32.529,-1.5697,-0.003548,-0.029379,0.0073918,0.038322,-2.3215
0.0041586,0.010808,0.25806,0.11536,7.556,-0.021009,-0.048707,0.32514,0.18244,7.623,32.526,-1.5787,-0.0037568,-0.026337,0.0074009,0.038385,-2.3189
0.0037734,0.010689,0.25542,0.11627,7.5667,-0.021074,-0.048955,0.56987,0.43073,7.8812,32.523,-1.5867,-0.0039673,-0.023338,0.0074097,0.038443,-2.3164
0.0034275,0.010578,0.25279,0.11705,7.5765,-0.02095,-0.049173,0.22935,0.093613,7.553,32.52,-1.5937,-0.0041775,-0.020387,0.0074183,0.038498,-2.3138
0.0031124,0.010473,0.25018,0.11771,7.5853,-0.020663,-0.049361,1.1529,1.0204,8.488,32.518,-1.5998,-0.0043856,-0.017488,0.0074266,0.03855,-2.3113
0.0028208,0.010373,0.2476,0.11827,7.5931,-0.020236,-0.049521,0.6609,0.53156,8.0064,32.515,-1.6049,-0.0045902,-0.014649,0.0074347,0.038598,-2.3088
0.0025464,0.010277,0.24505,0.1187,7.6,-0.019698,-0.049653,-0.56624,-0.69259,6.7887,32.512,-1.6091,-0.0047899,-0.011873,0.0074428,0.038643,-2.3063
0.0022844,0.010184,0.24255,0.11902,7.6061,-0.019065,-0.049757,0.25819,0.13466,7.6218,32.509,-1.6125,-0.0049837,-0.0091664,0.0074508,0.038685,-2.3039
0.0020286,0.010092,0.2401,0.11922,7.6108,-0.018377,-0.049835,-0.5684,-0.68928,6.8023,32.507,-1.6149,-0.0051709,-0.0065496,0.0074587,0.038725,-2.3015
0.0017683,0.010001,0.23769,0.11935,7.6143,-0.017601,-0.049887,0.69751,0.57917,8.0741,32.504,-1.6166,-0.0053508,-0.0040163,0.0074666,0.038762,-2.2991
0.0014928,0.0099095,0.23534,0.11941,7.6167,-0.016785,-0.049915,0.41181,0.29588,7.7932,32.501,-1.6174,-0.0055227,-0.0015731,0.0074743,0.038796,-2.2967
0.0012,0.0098164,0.23304,0.11941,7.6181,-0.015946,-0.049918,0.51899,0.40536,7.9041,32.499,-1.6174,-0.0056863,0.00078667,0.007482,0.038827,-2.2944
0.00088983,0.0097213,0.2308,0.11934,7.6187,-0.015084,-0.049898,0.62176,0.5103,8.0097,32.496,-1.6167,-0.0058414,0.0030622,0.0074896,0.038855,-2.2921
0.00056482,0.0096357,0.22862,0.11617,7.6187,-0.014368,-0.049856,1.0123,0.89986,8.4023,32.494,-1.6152,-0.0059881,0.0052528,0.007497,0.038879,-2.2898
0.00023032,0.0096511,0.22648,0.092755,7.6182,-0.014427,-0.049792,0.08335,-0.050376,7.4751,32.491,-1.6131,-0.0061314,0.007355,0.0075048,0.0389,-2.2875
-0.00010283,0.0098708,0.22436,0.042549,7.6176,-0.015337,-0.049708,0.16291,-0.018904,7.5562,32.488,-1.6102,-0.0062795,0.0093883,0.0075144,0.038918,-2.2852
-0.00042311,0.010321,0.22227,-0.022872,7.6167,-0.016897,-0.049604,0.49765,0.25251,7.8921,32.485,-1.6067,-0.00644,0.011361,0.0075282,0.038932,-2.283
-0.00072628,0.010977,0.22025,-0.094695,7.6151,-0.019334,-0.04948,0.65757,0.34263,8.0524,32.48,-1.6025,-0.0066202,0.013227,0.0075483,0.038943,-2.2808
-0.0010131,0.011808,0.21834,-0.17041,7.6125,-0.023014,-0.049339,-0.28046,-0.66921,7.1137,32.476,-1.5977,-0.0068307,0.014935,0.0075766,0.038951,-2.2786
-0.0012859,0.012768,0.21661,-0.24815,7.6091,-0.027916,-0.049181,-0.029369,-0.49412,7.3631,32.47,-1.5923,-0.0070844,0.016443,0.0076146,0.038956,-2.2764
-0.0015499,0.013801,0.21509,-0.32483,7.6048,-0.033625,-0.04901,0.23292,-0.30699,7.6227,32.464,-1.5865,-0.0073916,0.017717,0.0076633,0.038958,-2.2742
-0.0018109,0.01485,0.21381,-0.40006,7.5998,-0.039788,-0.048827,-0.89655,-1.5104,6.4894,32.457,-1.5802,-0.0077581,0.018726,0.0077229,0.038958,-2.2721
-0.0020714,0.015876,0.2128,-0.4745,7.5943,-0.04593,-0.048636,0.73097,0.043665,8.1125,32.449,-1.5736,-0.008187,0.01946,0.0077934,0.038955,-2.27
-0.002328,0.016818,0.21208,-0.54285,7.5888,-0.051374,-0.048439,-0.24688,-1.0018,7.1298,32.441,-1.5668,-0.0086741,0.019926,0.0078741,0.038949,-2.2678
-0.0025758,0.017627,0.21165,-0.60345,7.5834,-0.055697,-0.048238,0.72751,-0.087591,8.0993,32.431,-1.5599,-0.0092104,0.020125,0.0079639,0.038942,-2.2657
-0.0028056,0.018269,0.21152,-0.65657,7.5785,-0.058543,-0.048037,-0.1402,-1.0083,7.2268,32.422,-1.5529,-0.0097828,0.020071,0.008061,0.038932,-2.2636
-0.0030061,0.018726,0.21166,-0.70292,7.5744,-0.059559,-0.047838,0.49556,-0.41903,7.8583,32.412,-1.5459,-0.010375,0.019783,0.0081637,0.03892,-2.2615
-0.0031663,0.018994,0.21206,-0.74328,7.5711,-0.058503,-0.047642,0.57896,-0.37638,7.938,32.401,-1.539,-0.010967,0.019288,0.0082698,0.038906,-2.2593
-0.0032769,0.01908,0.21269,-0.77841,7.5687,-0.055288,-0.047453,0.13397,-0.85713,7.49,32.39,-1.5324,-0.011537,0.018612,0.0083776,0.038892,-2.2572
-0.0033322,0.019002,0.21351,-0.80903,7.567,-0.049985,-0.047271,0.46506,-0.55749,7.8186,32.379,-1.5259,-0.012065,0.017782,0.0084852,0.038877,-2.2551
-0.0033313,0.018782,0.21449,-0.83572,7.566,-0.042784,-0.047098,0.1575,-0.89272,7.509,32.368,-1.5197,-0.01253,0.016827,0.0085909,0.038862,-2.2529
-0.003275,0.018448,0.21559,-0.859,7.5654,-0.033994,-0.046935,0.46343,-0.61116,7.8132,32.356,-1.5139,-0.012915,0.015775,0.0086935,0.038847,-2.2508
-0.0031681,0.018025,0.21679,-0.87931,7.5651,-0.023972,-0.046783,-0.27396,-1.3701,7.0743,32.344,-1.5084,-0.013206,0.014651,0.0087918,0.038834,-2.2486
-0.0030195,0.017539,0.21805,-0.89708,7.5649,-0.013141,-0.046643,-0.109,-1.2241,7.2378,32.332,-1.5032,-0.013392,0.013474,0.0088852,0.038822,-2.2464
-0.002841,0.017014,0.21934,-0.91268,7.5645,-0.0019256,-0.046515,0.84756,-0.28447,8.1927,32.319,-1.4984,-0.013467,0.012263,0.0089729,0.038812,-2.2442
-0.0026457,0.016469,0.22065,-0.92642,7.564,0.0092438,-0.046398,-0.056719,-1.2038,7.2866,32.307,-1.4941,-0.013431,0.011032,0.0090549,0.038805,-2.242
-0.002439,0.015921,0.22196,-0.93854,7.5634,0.019994,-0.046294,0.32801,-0.83248,7.6694,32.294,-1.4901,-0.013284,0.0098113,0.0091309,0.038799,-2.2398
-0.0022329,0.015382,0.22325,-0.94924,7.5626,0.030011,-0.046203,-0.48641,-1.6589,6.8529,32.282,-1.4865,-0.013033,0.0085978,0.0092009,0.038796,-2.2376
-0.0020414,0.01486,0.22451,-0.95873,7.5612,0.039001,-0.046123,0.044963,-1.1383,7.3817,32.269,-1.4833,-0.012687,0.0073941,0.0092651,0.038796,-2.2353
-0.0018784,0.014361,0.22575,-0.96715,7.5593,0.046763,-0.046055,-0.11892,-1.3118,7.2146,32.256,-1.4805,-0.012258,0.0062036,0.0093238,0.038797,-2.2331
-0.0017568,0.013887,0.22694,-0.97467,7.5565,0.05315,-0.046,0.10946,-1.0921,7.439,32.243,-1.4781,-0.011757,0.0050307,0.0093771,0.0388,-2.2308
-0.0016879,0.01344,0.22809,-0.98141,7.553,0.05809,-0.045955,0.66478,-0.54471,7.9897,32.23,-1.476,-0.0112,0.0038773,0.0094253,0.038804,-2.2285
-0.0016806,0.013019,0.22918,-0.98746,7.5485,0.061572,-0.045922,0.66647,-0.55017,7.9858,32.216,-1.4743,-0.0106,0.0027473,0.0094688,0.038809,-2.2262
-0.0017405,0.012623,0.23022,-0.99288,7.5434,0.063643,-0.045901,0.75347,-0.46963,8.0666,32.203,-1.473,-0.0099734,0.0016473,0.0095078,0.038814,-2.2239
-0.0018695,0.01225,0.23121,-0.99775,7.5375,0.064384,-0.04589,0.30246,-0.9265,7.6087,32.19,-1.472,-0.0093324,0.00058216,0.0095425,0.038818,-2.2216
-0.0020679,0.011897,0.23213,-1.0021,7.5302,0.063892,-0.04589,0.45553,-0.7787,7.7536,32.176,-1.4713,-0.0086903,-0.00046185,0.0095732,0.038821,-2.2193
-0.0023398,0.011563,0.23299,-1.006,7.522,0.062333,-0.0459,-0.23899,-1.478,7.05,32.163,-1.471,-0.0080586,-0.0014674,0.0096001,0.038821,-2.217
-0.0026829,0.011245,0.23377,-1.0096,7.5131,0.059851,-0.045919,0.032189,-1.2112,7.3115,32.149,-1.471,-0.0074471,-0.0024209,0.0096235,0.038818,-2.2146
-0.0030899,0.010944,0.23447,-1.0129,7.5037,0.056583,-0.045948,0.8026,-0.44477,8.0718,32.136,-1.4713,-0.0068646,-0.0033142,0.0096435,0.038812,-2.2123
-0.0035498,0.010657,0.23509,-1.0158,7.4938,0.052684,-0.045986,0.637,-0.61393,7.8957,32.122,-1.4718,-0.006318,-0.0041371,0.0096603,0.038802,-2.2099
